"order_id","customer_id","employee_id","order_date","required_date","shipped_date","ship_via","freight","ship_name","ship_address","ship_city","ship_region","ship_postal_code","ship_country","product_id","unit_price","quantity","discount"
"10252","SUPRD",4,"1996-07-09","1996-08-06","1996-07-11",2,"51.2999992","Suprêmes délices","Boulevard Tirou, 255","Charleroi",NULL,"B-6000","Belgium","20","64.8","40","0.05"
"10252","SUPRD",4,"1996-07-09","1996-08-06","1996-07-11",2,"51.2999992","Suprêmes délices","Boulevard Tirou, 255","Charleroi",NULL,"B-6000","Belgium","33","2.0","25","0.05"
"10252","SUPRD",4,"1996-07-09","1996-08-06","1996-07-11",2,"51.2999992","Suprêmes délices","Boulevard Tirou, 255","Charleroi",NULL,"B-6000","Belgium","60","27.2","40","0.0"
"10253","HANAR",3,"1996-07-10","1996-07-24","1996-07-16",2,"58.1699982","Hanari Carnes","Rua do Paço, 67","Rio de Janeiro","RJ","05454-876","Brazil","31","10.0","20","0.0"
"10253","HANAR",3,"1996-07-10","1996-07-24","1996-07-16",2,"58.1699982","Hanari Carnes","Rua do Paço, 67","Rio de Janeiro","RJ","05454-876","Brazil","39","14.4","42","0.0"
"10253","HANAR",3,"1996-07-10","1996-07-24","1996-07-16",2,"58.1699982","Hanari Carnes","Rua do Paço, 67","Rio de Janeiro","RJ","05454-876","Brazil","49","16.0","40","0.0"
"10254","CHOPS",5,"1996-07-11","1996-08-08","1996-07-23",2,"22.9799995","Chop-suey Chinese","Hauptstr. 31","Bern",NULL,"3012","Switzerland","24","3.6","15","0.15"
"10254","CHOPS",5,"1996-07-11","1996-08-08","1996-07-23",2,"22.9799995","Chop-suey Chinese","Hauptstr. 31","Bern",NULL,"3012","Switzerland","55","19.2","21","0.15"
"10254","CHOPS",5,"1996-07-11","1996-08-08","1996-07-23",2,"22.9799995","Chop-suey Chinese","Hauptstr. 31","Bern",NULL,"3012","Switzerland","74","8.0","21","0.0"
"10255","RICSU",9,"1996-07-12","1996-08-09","1996-07-15",3,"148.330002","Richter Supermarkt","Starenweg 5","Genève",NULL,"1204","Switzerland","2","15.2","20","0.0"
"10255","RICSU",9,"1996-07-12","1996-08-09","1996-07-15",3,"148.330002","Richter Supermarkt","Starenweg 5","Genève",NULL,"1204","Switzerland","16","13.9","35","0.0"
"10255","RICSU",9,"1996-07-12","1996-08-09","1996-07-15",3,"148.330002","Richter Supermarkt","Starenweg 5","Genève",NULL,"1204","Switzerland","36","15.2","25","0.0"
"10255","RICSU",9,"1996-07-12","1996-08-09","1996-07-15",3,"148.330002","Richter Supermarkt","Starenweg 5","Genève",NULL,"1204","Switzerland","59","44.0","30","0.0"
"10256","WELLI",3,"1996-07-15","1996-08-12","1996-07-17",2,"13.9700003","Wellington Importadora","Rua do Mercado, 12","Resende","SP","08737-363","Brazil","53","26.2","15","0.0"
"10256","WELLI",3,"1996-07-15","1996-08-12","1996-07-17",2,"13.9700003","Wellington Importadora","Rua do Mercado, 12","Resende","SP","08737-363","Brazil","77","10.4","12","0.0"
"10257","HILAA",4,"1996-07-16","1996-08-13","1996-07-22",3,"81.9100037","HILARION-Abastos","Carrera 22 con Ave. Carlos Soublette #8-35","San Cristóbal","Táchira","5022","Venezuela","27","35.1","25","0.0"
"10257","HILAA",4,"1996-07-16","1996-08-13","1996-07-22",3,"81.9100037","HILARION-Abastos","Carrera 22 con Ave. Carlos Soublette #8-35","San Cristóbal","Táchira","5022","Venezuela","39","14.4","6","0.0"
"10257","HILAA",4,"1996-07-16","1996-08-13","1996-07-22",3,"81.9100037","HILARION-Abastos","Carrera 22 con Ave. Carlos Soublette #8-35","San Cristóbal","Táchira","5022","Venezuela","77","10.4","15","0.0"
"10258","ERNSH",1,"1996-07-17","1996-08-14","1996-07-23",1,"140.509995","Ernst Handel","Kirchgasse 6","Graz",NULL,"8010","Austria","2","15.2","50","0.2"
"10258","ERNSH",1,"1996-07-17","1996-08-14","1996-07-23",1,"140.509995","Ernst Handel","Kirchgasse 6","Graz",NULL,"8010","Austria","5","17.0","65","0.2"
"10258","ERNSH",1,"1996-07-17","1996-08-14","1996-07-23",1,"140.509995","Ernst Handel","Kirchgasse 6","Graz",NULL,"8010","Austria","32","25.6","6","0.2"
"10259","CENTC",4,"1996-07-18","1996-08-15","1996-07-25",3,"3.25","Centro comercial Moctezuma","Sierras de Granada 9993","México D.F.",NULL,"05022","Mexico","21","8.0","10","0.0"
"10259","CENTC",4,"1996-07-18","1996-08-15","1996-07-25",3,"3.25","Centro comercial Moctezuma","Sierras de Granada 9993","México D.F.",NULL,"05022","Mexico","37","20.8","1","0.0"
"10260","OTTIK",4,"1996-07-19","1996-08-16","1996-07-29",1,"55.0900002","Ottilies Käseladen","Mehrheimerstr. 369","Köln",NULL,"50739","Germany","41","7.7","16","0.25"
"10260","OTTIK",4,"1996-07-19","1996-08-16","1996-07-29",1,"55.0900002","Ottilies Käseladen","Mehrheimerstr. 369","Köln",NULL,"50739","Germany","57","15.6","50","0.0"
"10260","OTTIK",4,"1996-07-19","1996-08-16","1996-07-29",1,"55.0900002","Ottilies Käseladen","Mehrheimerstr. 369","Köln",NULL,"50739","Germany","62","39.4","15","0.25"
"10260","OTTIK",4,"1996-07-19","1996-08-16","1996-07-29",1,"55.0900002","Ottilies Käseladen","Mehrheimerstr. 369","Köln",NULL,"50739","Germany","70","12.0","21","0.25"
"10261","QUEDE",4,"1996-07-19","1996-08-16","1996-07-30",2,"3.04999995","Que Delícia","Rua da Panificadora, 12","Rio de Janeiro","RJ","02389-673","Brazil","21","8.0","20","0.0"
"10261","QUEDE",4,"1996-07-19","1996-08-16","1996-07-30",2,"3.04999995","Que Delícia","Rua da Panificadora, 12","Rio de Janeiro","RJ","02389-673","Brazil","35","14.4","20","0.0"
"10262","RATTC",8,"1996-07-22","1996-08-19","1996-07-25",3,"48.2900009","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA","5","17.0","12","0.2"
"10262","RATTC",8,"1996-07-22","1996-08-19","1996-07-25",3,"48.2900009","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA","7","24.0","15","0.0"
"10262","RATTC",8,"1996-07-22","1996-08-19","1996-07-25",3,"48.2900009","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA","56","30.4","2","0.0"
"10263","ERNSH",9,"1996-07-23","1996-08-20","1996-07-31",3,"146.059998","Ernst Handel","Kirchgasse 6","Graz",NULL,"8010","Austria","16","13.9","60","0.25"
"10263","ERNSH",9,"1996-07-23","1996-08-20","1996-07-31",3,"146.059998","Ernst Handel","Kirchgasse 6","Graz",NULL,"8010","Austria","24","3.6","28","0.0"
"10263","ERNSH",9,"1996-07-23","1996-08-20","1996-07-31",3,"146.059998","Ernst Handel","Kirchgasse 6","Graz",NULL,"8010","Austria","30","20.7","60","0.25"
"10263","ERNSH",9,"1996-07-23","1996-08-20","1996-07-31",3,"146.059998","Ernst Handel","Kirchgasse 6","Graz",NULL,"8010","Austria","74","8.0","36","0.25"
"10264","FOLKO",6,"1996-07-24","1996-08-21","1996-08-23",3,"3.67000008","Folk och fä HB","Åkergatan 24","Bräcke",NULL,"S-844 67","Sweden","2","15.2","35","0.0"
"10264","FOLKO",6,"1996-07-24","1996-08-21","1996-08-23",3,"3.67000008","Folk och fä HB","Åkergatan 24","Bräcke",NULL,"S-844 67","Sweden","41","7.7","25","0.15"
"10265","BLONP",2,"1996-07-25","1996-08-22","1996-08-12",1,"55.2799988","Blondel père et fils","24, place Kléber","Strasbourg",NULL,"67000","France","17","31.2","30","0.0"
"10265","BLONP",2,"1996-07-25","1996-08-22","1996-08-12",1,"55.2799988","Blondel père et fils","24, place Kléber","Strasbourg",NULL,"67000","France","70","12.0","20","0.0"
"10266","WARTH",3,"1996-07-26","1996-09-06","1996-07-31",3,"25.7299995","Wartian Herkku","Torikatu 38","Oulu",NULL,"90110","Finland","12","30.4","12","0.05"
"10267","FRANK",4,"1996-07-29","1996-08-26","1996-08-06",1,"208.580002","Frankenversand","Berliner Platz 43","München",NULL,"80805","Germany","40","14.7","50","0.0"
"10267","FRANK",4,"1996-07-29","1996-08-26","1996-08-06",1,"208.580002","Frankenversand","Berliner Platz 43","München",NULL,"80805","Germany","59","44.0","70","0.15"
"10267","FRANK",4,"1996-07-29","1996-08-26","1996-08-06",1,"208.580002","Frankenversand","Berliner Platz 43","München",NULL,"80805","Germany","76","14.4","15","0.15"
"10268","GROSR",8,"1996-07-30","1996-08-27","1996-08-02",3,"66.2900009","GROSELLA-Restaurante","5ª Ave. Los Palos Grandes","Caracas","DF","1081","Venezuela","29","99.0","10","0.0"
"10268","GROSR",8,"1996-07-30","1996-08-27","1996-08-02",3,"66.2900009","GROSELLA-Restaurante","5ª Ave. Los Palos Grandes","Caracas","DF","1081","Venezuela","72","27.8","4","0.0"
"10269","WHITC",5,"1996-07-31","1996-08-14","1996-08-09",1,"4.55999994","White Clover Markets","1029 - 12th Ave. S.","Seattle","WA","98124","USA","33","2.0","60","0.05"
"10269","WHITC",5,"1996-07-31","1996-08-14","1996-08-09",1,"4.55999994","White Clover Markets","1029 - 12th Ave. S.","Seattle","WA","98124","USA","72","27.8","20","0.05"
"10270","WARTH",1,"1996-08-01","1996-08-29","1996-08-02",1,"136.539993","Wartian Herkku","Torikatu 38","Oulu",NULL,"90110","Finland","36","15.2","30","0.0"
"10270","WARTH",1,"1996-08-01","1996-08-29","1996-08-02",1,"136.539993","Wartian Herkku","Torikatu 38","Oulu",NULL,"90110","Finland","43","36.8","25","0.0"
"10271","SPLIR",6,"1996-08-01","1996-08-29","1996-08-30",2,"4.53999996","Split Rail Beer & Ale","P.O. Box 555","Lander","WY","82520","USA","33","2.0","24","0.0"
"10272","RATTC",6,"1996-08-02","1996-08-30","1996-08-06",2,"98.0299988","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA","20","64.8","6","0.0"
"10272","RATTC",6,"1996-08-02","1996-08-30","1996-08-06",2,"98.0299988","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA","31","10.0","40","0.0"
"10272","RATTC",6,"1996-08-02","1996-08-30","1996-08-06",2,"98.0299988","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA","72","27.8","24","0.0"
"10273","QUICK",3,"1996-08-05","1996-09-02","1996-08-12",3,"76.0699997","QUICK-Stop","Taucherstraße 10","Cunewalde",NULL,"01307","Germany","10","24.8","24","0.05"
"10273","QUICK",3,"1996-08-05","1996-09-02","1996-08-12",3,"76.0699997","QUICK-Stop","Taucherstraße 10","Cunewalde",NULL,"01307","Germany","31","10.0","15","0.05"
"10273","QUICK",3,"1996-08-05","1996-09-02","1996-08-12",3,"76.0699997","QUICK-Stop","Taucherstraße 10","Cunewalde",NULL,"01307","Germany","33","2.0","20","0.0"
"10273","QUICK",3,"1996-08-05","1996-09-02","1996-08-12",3,"76.0699997","QUICK-Stop","Taucherstraße 10","Cunewalde",NULL,"01307","Germany","40","14.7","60","0.05"
"10273","QUICK",3,"1996-08-05","1996-09-02","1996-08-12",3,"76.0699997","QUICK-Stop","Taucherstraße 10","Cunewalde",NULL,"01307","Germany","76","14.4","33","0.05"
"10274","VINET",6,"1996-08-06","1996-09-03","1996-08-16",1,"6.01000023","Vins et alcools Chevalier","59 rue de l'Abbaye","Reims",NULL,"51100","France","71","17.2","20","0.0"
"10274","VINET",6,"1996-08-06","1996-09-03","1996-08-16",1,"6.01000023","Vins et alcools Chevalier","59 rue de l'Abbaye","Reims",NULL,"51100","France","72","27.8","7","0.0"
"10275","MAGAA",1,"1996-08-07","1996-09-04","1996-08-09",1,"26.9300003","Magazzini Alimentari Riuniti","Via Ludovico il Moro 22","Bergamo",NULL,"24100","Italy","24","3.6","12","0.05"
"10275","MAGAA",1,"1996-08-07","1996-09-04","1996-08-09",1,"26.9300003","Magazzini Alimentari Riuniti","Via Ludovico il Moro 22","Bergamo",NULL,"24100","Italy","59","44.0","6","0.05"
"10276","TORTU",8,"1996-08-08","1996-08-22","1996-08-14",3,"13.8400002","Tortuga Restaurante","Avda. Azteca 123","México D.F.",NULL,"05033","Mexico","10","24.8","15","0.0"
"10276","TORTU",8,"1996-08-08","1996-08-22","1996-08-14",3,"13.8400002","Tortuga Restaurante","Avda. Azteca 123","México D.F.",NULL,"05033","Mexico","13","4.8","10","0.0"
"10277","MORGK",2,"1996-08-09","1996-09-06","1996-08-13",3,"125.769997","Morgenstern Gesundkost","Heerstr. 22","Leipzig",NULL,"04179","Germany","28","36.4","20","0.0"
"10277","MORGK",2,"1996-08-09","1996-09-06","1996-08-13",3,"125.769997","Morgenstern Gesundkost","Heerstr. 22","Leipzig",NULL,"04179","Germany","62","39.4","12","0.0"
"10278","BERGS",8,"1996-08-12","1996-09-09","1996-08-16",2,"92.6900024","Berglunds snabbköp","Berguvsvägen  8","Luleå",NULL,"S-958 22","Sweden","44","15.5","16","0.0"
"10278","BERGS",8,"1996-08-12","1996-09-09","1996-08-16",2,"92.6900024","Berglunds snabbköp","Berguvsvägen  8","Luleå",NULL,"S-958 22","Sweden","59","44.0","15","0.0"
"10278","BERGS",8,"1996-08-12","1996-09-09","1996-08-16",2,"92.6900024","Berglunds snabbköp","Berguvsvägen  8","Luleå",NULL,"S-958 22","Sweden","63","35.1","8","0.0"
"10278","BERGS",8,"1996-08-12","1996-09-09","1996-08-16",2,"92.6900024","Berglunds snabbköp","Berguvsvägen  8","Luleå",NULL,"S-958 22","Sweden","73","12.0","25","0.0"
"10279","LEHMS",8,"1996-08-13","1996-09-10","1996-08-16",2,"25.8299999","Lehmanns Marktstand","Magazinweg 7","Frankfurt a.M.",NULL,"60528","Germany","17","31.2","15","0.25"
"10280","BERGS",2,"1996-08-14","1996-09-11","1996-09-12",1,"8.97999954","Berglunds snabbköp","Berguvsvägen  8","Luleå",NULL,"S-958 22","Sweden","24","3.6","12","0.0"
"10280","BERGS",2,"1996-08-14","1996-09-11","1996-09-12",1,"8.97999954","Berglunds snabbköp","Berguvsvägen  8","Luleå",NULL,"S-958 22","Sweden","55","19.2","20","0.0"
"10280","BERGS",2,"1996-08-14","1996-09-11","1996-09-12",1,"8.97999954","Berglunds snabbköp","Berguvsvägen  8","Luleå",NULL,"S-958 22","Sweden","75","6.2","30","0.0"
"10281","ROMEY",4,"1996-08-14","1996-08-28","1996-08-21",1,"2.94000006","Romero y tomillo","Gran Vía, 1","Madrid",NULL,"28001","Spain","19","7.3","1","0.0"
"10281","ROMEY",4,"1996-08-14","1996-08-28","1996-08-21",1,"2.94000006","Romero y tomillo","Gran Vía, 1","Madrid",NULL,"28001","Spain","24","3.6","6","0.0"
"10281","ROMEY",4,"1996-08-14","1996-08-28","1996-08-21",1,"2.94000006","Romero y tomillo","Gran Vía, 1","Madrid",NULL,"28001","Spain","35","14.4","4","0.0"
"10282","ROMEY",4,"1996-08-15","1996-09-12","1996-08-21",1,"12.6899996","Romero y tomillo","Gran Vía, 1","Madrid",NULL,"28001","Spain","30","20.7","6","0.0"
"10282","ROMEY",4,"1996-08-15","1996-09-12","1996-08-21",1,"12.6899996","Romero y tomillo","Gran Vía, 1","Madrid",NULL,"28001","Spain","57","15.6","2","0.0"
"10283","LILAS",3,"1996-08-16","1996-09-13","1996-08-23",3,"84.8099976","LILA-Supermercado","Carrera 52 con Ave. Bolívar #65-98 Llano Largo","Barquisimeto","Lara","3508","Venezuela","15","12.4","20","0.0"
"10283","LILAS",3,"1996-08-16","1996-09-13","1996-08-23",3,"84.8099976","LILA-Supermercado","Carrera 52 con Ave. Bolívar #65-98 Llano Largo","Barquisimeto","Lara","3508","Venezuela","19","7.3","18","0.0"
"10283","LILAS",3,"1996-08-16","1996-09-13","1996-08-23",3,"84.8099976","LILA-Supermercado","Carrera 52 con Ave. Bolívar #65-98 Llano Largo","Barquisimeto","Lara","3508","Venezuela","60","27.2","35","0.0"
"10283","LILAS",3,"1996-08-16","1996-09-13","1996-08-23",3,"84.8099976","LILA-Supermercado","Carrera 52 con Ave. Bolívar #65-98 Llano Largo","Barquisimeto","Lara","3508","Venezuela","72","27.8","3","0.0"
"10284","LEHMS",4,"1996-08-19","1996-09-16","1996-08-27",1,"76.5599976","Lehmanns Marktstand","Magazinweg 7","Frankfurt a.M.",NULL,"60528","Germany","27","35.1","15","0.25"
"10284","LEHMS",4,"1996-08-19","1996-09-16","1996-08-27",1,"76.5599976","Lehmanns Marktstand","Magazinweg 7","Frankfurt a.M.",NULL,"60528","Germany","44","15.5","21","0.0"
"10284","LEHMS",4,"1996-08-19","1996-09-16","1996-08-27",1,"76.5599976","Lehmanns Marktstand","Magazinweg 7","Frankfurt a.M.",NULL,"60528","Germany","60","27.2","20","0.25"
"10284","LEHMS",4,"1996-08-19","1996-09-16","1996-08-27",1,"76.5599976","Lehmanns Marktstand","Magazinweg 7","Frankfurt a.M.",NULL,"60528","Germany","67","11.2","5","0.25"
"10285","QUICK",1,"1996-08-20","1996-09-17","1996-08-26",2,"76.8300018","QUICK-Stop","Taucherstraße 10","Cunewalde",NULL,"01307","Germany","1","14.4","45","0.2"
"10285","QUICK",1,"1996-08-20","1996-09-17","1996-08-26",2,"76.8300018","QUICK-Stop","Taucherstraße 10","Cunewalde",NULL,"01307","Germany","40","14.7","40","0.2"
"10285","QUICK",1,"1996-08-20","1996-09-17","1996-08-26",2,"76.8300018","QUICK-Stop","Taucherstraße 10","Cunewalde",NULL,"01307","Germany","53","26.2","36","0.2"
"10286","QUICK",8,"1996-08-21","1996-09-18","1996-08-30",3,"229.240005","QUICK-Stop","Taucherstraße 10","Cunewalde",NULL,"01307","Germany","35","14.4","100","0.0"
"10286","QUICK",8,"1996-08-21","1996-09-18","1996-08-30",3,"229.240005","QUICK-Stop","Taucherstraße 10","Cunewalde",NULL,"01307","Germany","62","39.4","40","0.0"
"10287","RICAR",8,"1996-08-22","1996-09-19","1996-08-28",3,"12.7600002","Ricardo Adocicados","Av. Copacabana, 267","Rio de Janeiro","RJ","02389-890","Brazil","16","13.9","40","0.15"
"10287","RICAR",8,"1996-08-22","1996-09-19","1996-08-28",3,"12.7600002","Ricardo Adocicados","Av. Copacabana, 267","Rio de Janeiro","RJ","02389-890","Brazil","34","11.2","20","0.0"
"10287","RICAR",8,"1996-08-22","1996-09-19","1996-08-28",3,"12.7600002","Ricardo Adocicados","Av. Copacabana, 267","Rio de Janeiro","RJ","02389-890","Brazil","46","9.6","15","0.15"
"10288","REGGC",4,"1996-08-23","1996-09-20","1996-09-03",1,"7.44999981","Reggiani Caseifici","Strada Provinciale 124","Reggio Emilia",NULL,"42100","Italy","54","5.9","10","0.1"
"10288","REGGC",4,"1996-08-23","1996-09-20","1996-09-03",1,"7.44999981","Reggiani Caseifici","Strada Provinciale 124","Reggio Emilia",NULL,"42100","Italy","68","10.0","3","0.1"
"10289","BSBEV",7,"1996-08-26","1996-09-23","1996-08-28",3,"22.7700005","B's Beverages","Fauntleroy Circus","London",NULL,"EC2 5NT","UK","3","8.0","30","0.0"
"10289","BSBEV",7,"1996-08-26","1996-09-23","1996-08-28",3,"22.7700005","B's Beverages","Fauntleroy Circus","London",NULL,"EC2 5NT","UK","64","26.6","9","0.0"
"10290","COMMI",8,"1996-08-27","1996-09-24","1996-09-03",1,"79.6999969","Comércio Mineiro","Av. dos Lusíadas, 23","Sao Paulo","SP","05432-043","Brazil","5","17.0","20","0.0"
"10290","COMMI",8,"1996-08-27","1996-09-24","1996-09-03",1,"79.6999969","Comércio Mineiro","Av. dos Lusíadas, 23","Sao Paulo","SP","05432-043","Brazil","29","99.0","15","0.0"
"10290","COMMI",8,"1996-08-27","1996-09-24","1996-09-03",1,"79.6999969","Comércio Mineiro","Av. dos Lusíadas, 23","Sao Paulo","SP","05432-043","Brazil","49","16.0","15","0.0"
"10290","COMMI",8,"1996-08-27","1996-09-24","1996-09-03",1,"79.6999969","Comércio Mineiro","Av. dos Lusíadas, 23","Sao Paulo","SP","05432-043","Brazil","77","10.4","10","0.0"
"10291","QUEDE",6,"1996-08-27","1996-09-24","1996-09-04",2,"6.4000001","Que Delícia","Rua da Panificadora, 12","Rio de Janeiro","RJ","02389-673","Brazil","13","4.8","20","0.1"
"10291","QUEDE",6,"1996-08-27","1996-09-24","1996-09-04",2,"6.4000001","Que Delícia","Rua da Panificadora, 12","Rio de Janeiro","RJ","02389-673","Brazil","44","15.5","24","0.1"
"10291","QUEDE",6,"1996-08-27","1996-09-24","1996-09-04",2,"6.4000001","Que Delícia","Rua da Panificadora, 12","Rio de Janeiro","RJ","02389-673","Brazil","51","42.4","2","0.1"
"10292","TRADH",1,"1996-08-28","1996-09-25","1996-09-02",2,"1.35000002","Tradiçao Hipermercados","Av. Inês de Castro, 414","Sao Paulo","SP","05634-030","Brazil","20","64.8","20","0.0"
"10293","TORTU",1,"1996-08-29","1996-09-26","1996-09-11",3,"21.1800003","Tortuga Restaurante","Avda. Azteca 123","México D.F.",NULL,"05033","Mexico","18","50.0","12","0.0"
"10293","TORTU",1,"1996-08-29","1996-09-26","1996-09-11",3,"21.1800003","Tortuga Restaurante","Avda. Azteca 123","México D.F.",NULL,"05033","Mexico","24","3.6","10","0.0"
"10293","TORTU",1,"1996-08-29","1996-09-26","1996-09-11",3,"21.1800003","Tortuga Restaurante","Avda. Azteca 123","México D.F.",NULL,"05033","Mexico","63","35.1","5","0.0"
"10293","TORTU",1,"1996-08-29","1996-09-26","1996-09-11",3,"21.1800003","Tortuga Restaurante","Avda. Azteca 123","México D.F.",NULL,"05033","Mexico","75","6.2","6","0.0"
"10294","RATTC",4,"1996-08-30","1996-09-27","1996-09-05",2,"147.259995","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA","1","14.4","18","0.0"
"10294","RATTC",4,"1996-08-30","1996-09-27","1996-09-05",2,"147.259995","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA","17","31.2","15","0.0"
"10294","RATTC",4,"1996-08-30","1996-09-27","1996-09-05",2,"147.259995","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA","43","36.8","15","0.0"
"10294","RATTC",4,"1996-08-30","1996-09-27","1996-09-05",2,"147.259995","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA","60","27.2","21","0.0"
"10294","RATTC",4,"1996-08-30","1996-09-27","1996-09-05",2,"147.259995","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA","75","6.2","6","0.0"
"10295","VINET",2,"1996-09-02","1996-09-30","1996-09-10",2,"1.14999998","Vins et alcools Chevalier","59 rue de l'Abbaye","Reims",NULL,"51100","France","56","30.4","4","0.0"
"10296","LILAS",6,"1996-09-03","1996-10-01","1996-09-11",1,"0.119999997","LILA-Supermercado","Carrera 52 con Ave. Bolívar #65-98 Llano Largo","Barquisimeto","Lara","3508","Venezuela","11","16.8","12","0.0"
"10296","LILAS",6,"1996-09-03","1996-10-01","1996-09-11",1,"0.119999997","LILA-Supermercado","Carrera 52 con Ave. Bolívar #65-98 Llano Largo","Barquisimeto","Lara","3508","Venezuela","16","13.9","30","0.0"
"10296","LILAS",6,"1996-09-03","1996-10-01","1996-09-11",1,"0.119999997","LILA-Supermercado","Carrera 52 con Ave. Bolívar #65-98 Llano Largo","Barquisimeto","Lara","3508","Venezuela","69","28.8","15","0.0"
"10297","BLONP",5,"1996-09-04","1996-10-16","1996-09-10",2,"5.73999977","Blondel père et fils","24, place Kléber","Strasbourg",NULL,"67000","France","39","14.4","60","0.0"
"10297","BLONP",5,"1996-09-04","1996-10-16","1996-09-10",2,"5.73999977","Blondel père et fils","24, place Kléber","Strasbourg",NULL,"67000","France","72","27.8","20","0.0"
"10298","HUNGO",6,"1996-09-05","1996-10-03","1996-09-11",2,"168.220001","Hungry Owl All-Night Grocers","8 Johnstown Road","Cork","Co. Cork",NULL,"Ireland","2","15.2","40","0.0"
"10298","HUNGO",6,"1996-09-05","1996-10-03","1996-09-11",2,"168.220001","Hungry Owl All-Night Grocers","8 Johnstown Road","Cork","Co. Cork",NULL,"Ireland","36","15.2","40","0.25"
"10298","HUNGO",6,"1996-09-05","1996-10-03","1996-09-11",2,"168.220001","Hungry Owl All-Night Grocers","8 Johnstown Road","Cork","Co. Cork",NULL,"Ireland","59","44.0","30","0.25"
"10298","HUNGO",6,"1996-09-05","1996-10-03","1996-09-11",2,"168.220001","Hungry Owl All-Night Grocers","8 Johnstown Road","Cork","Co. Cork",NULL,"Ireland","62","39.4","15","0.0"
"10299","RICAR",4,"1996-09-06","1996-10-04","1996-09-13",2,"29.7600002","Ricardo Adocicados","Av. Copacabana, 267","Rio de Janeiro","RJ","02389-890","Brazil","19","7.3","15","0.0"
"10299","RICAR",4,"1996-09-06","1996-10-04","1996-09-13",2,"29.7600002","Ricardo Adocicados","Av. Copacabana, 267","Rio de Janeiro","RJ","02389-890","Brazil","70","12.0","20","0.0"
"10300","MAGAA",2,"1996-09-09","1996-10-07","1996-09-18",2,"17.6800003","Magazzini Alimentari Riuniti","Via Ludovico il Moro 22","Bergamo",NULL,"24100","Italy","66","13.6","30","0.0"
"10300","MAGAA",2,"1996-09-09","1996-10-07","1996-09-18",2,"17.6800003","Magazzini Alimentari Riuniti","Via Ludovico il Moro 22","Bergamo",NULL,"24100","Italy","68","10.0","20","0.0"
